,sample_id,genomics,event_id,collecting method,plant_interaction,stage,sex,collection,location,notes_specimen,Quantity,higher_taxon,taxon_level,species,subspecies,det_insect,det_day_insect,det_month_insect,det_year_insect,preservation,vial_size,genomics_id,make_label,day_start,month_start,year_start,day_end,month_end,year_end,waypoint,lat,lon,alt,municipality,state,country,locality,primary collector,other_collectors,plant_id,notes_event,pop_id_thesis,herbarium_deposited,tissue_sample_location,vegetation,soil,leaf_color,spathe_color,flower_color,height_and_habitus,flowering_phases,plant_family,plant_subfamily,plant_genus,plant_species,plant_authority,det_host_plant,det_day_host_plant,det_month_host_plant,det_year_host_plant,notes
186,14123Z03X002,BdM1360,14123,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1360,,11.0,11.0,2014.0,,,,71,-10.53520454,-39.37915164,395.9456787,Monte Santo,BA,Brazil,,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 260,,P20,,,Mata estacional convertida em plantios,arenoso,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
187,14018Z07X003,BdM1362,14018,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Microstrates,genus,bondari,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1362,,2.0,11.0,2014.0,,,,14,-17.12177404,-39.38168105,121.0107422,Prado,BA,Brazil,"PARNA do Descobrimento, estrada principal",B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 158,,P10,,MCZ,mata,,,,,,"open male flowers, fruits",Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,
188,14018Z07X004,BdM1365,14018,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Microstrates,genus,bondari,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1365,,2.0,11.0,2014.0,,,,14,-17.12177404,-39.38168105,121.0107422,Prado,BA,Brazil,"PARNA do Descobrimento, estrada principal",B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 158,,P10,,MCZ,mata,,,,,,"open male flowers, fruits",Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,
189,14145Z01X003,BdM1367,14145,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Remertus,genus,sp_1,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1367,,13.0,11.0,2014.0,,,,84,-12.45441754,-40.54898361,418.0559082,Itaberaba,BA,Brazil,"estrada de fazenda Canabrava, saindo da BA-130",B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 282,,P5,,,caatinga,arenoso,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
190,14059Z06X004,BdM1369,14059,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Andranthobius,genus,sp_1,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1369,,6.0,11.0,2014.0,,,,36,-13.34159053,-39.19552686,195.7526855,Valença,BA,Brazil,Mata à beira da estrada de Valença para a BR-101,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 197,,P12,,MCZ,mata úmida,,,,,,open male flowers,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,
191,14131Z07X003,BdM1372,14131,bagging flowers,in open male flowers,adult,female,MZSP,MCZ,,1,Remertus,genus,sp_1,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1372,,12.0,11.0,2014.0,,,,73,-11.62928338,-41.15337725,1079.918701,Morro do Chapéu,BA,Brazil,À beira da estrada BA-144,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 268,,P6,,MCZ,Em meio a plantação de café,,,,,,"open male flowers, fruits",Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
192,14092Z02X003,BdM1373,14092,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Andranthobius,genus,bondari,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1373,,9.0,11.0,2014.0,,,,59,-9.591419259,-36.44237174,287.0772705,Taquarana,AL,Brazil,,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 228,,P15,,MCZ,em pasto,arenoso,,,,,open male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
193,14103Z07X002,BdM1375,14103,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1375,,10.0,11.0,2014.0,,,,66,-8.931129389,-36.49731469,753.0727539,Garanhuns,PE,Brazil,À beira da rodovia BR-424,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 239,,P17_cor,,MCZ,em pasto próximo a fragemento de mata estacional,arenoso,,,,,open male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
194,14123Z05X002,BdM1379,14123,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Andranthobius,genus,bondari,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1379,,11.0,11.0,2014.0,,,,71,-10.53520454,-39.37915164,395.9456787,Monte Santo,BA,Brazil,,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 260,,P20,,,Mata estacional convertida em plantios,arenoso,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
195,14092Z02X004,BdM1382,14092,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Andranthobius,genus,bondari,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1382,,9.0,11.0,2014.0,,,,59,-9.591419259,-36.44237174,287.0772705,Taquarana,AL,Brazil,,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 228,,P15,,MCZ,em pasto,arenoso,,,,,open male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
