sample_id,genomics,event_id,collecting method,plant_interaction,stage,sex,collection,location,notes_specimen,Quantity,higher_taxon,taxon_level,species,subspecies,det_insect,det_day_insect,det_month_insect,det_year_insect,preservation,vial_size,genomics_id,make_label,day_start,month_start,year_start,day_end,month_end,year_end,waypoint,lat,lon,alt,municipality,state,country,locality,primary collector,other_collectors,plant_id,notes_event,pop_id_thesis,herbarium_deposited,tissue_sample_location,vegetation,soil,leaf_color,spathe_color,flower_color,height_and_habitus,flowering_phases,plant_family,plant_subfamily,plant_genus,plant_species,plant_authority,det_host_plant,det_day_host_plant,det_month_host_plant,det_year_host_plant,notes
14145Z10X003,BdM1766,14145,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,NA,MZSP,MCZ,NA,1,Celetes,genus,decolor,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1766,NA,13,11,2014,NA,NA,NA,84,-12.45441754,-40.54898361,418.0559082,Itaberaba,BA,Brazil,"estrada de fazenda Canabrava, saindo da BA-130",B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 282,NA,P5,NA,NA,caatinga,arenoso,NA,NA,NA,NA,early male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2014,NA
14131Z11X001,BdM1770,14131,bagging flowers,in open male flowers,adult,NA,MZSP,MCZ,NA,1,Celetes,genus,decolor,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1770,NA,12,11,2014,NA,NA,NA,73,-11.62928338,-41.15337725,1079.918701,Morro do Chapéu,BA,Brazil,À beira da estrada BA-144,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 268,NA,P6,NA,MCZ,Em meio a plantação de café,NA,NA,NA,NA,NA,"open male flowers, fruits",Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2014,NA
14131Z11X002,BdM1771,14131,bagging flowers,in open male flowers,adult,NA,MZSP,MCZ,NA,1,Celetes,genus,decolor,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1771,NA,12,11,2014,NA,NA,NA,73,-11.62928338,-41.15337725,1079.918701,Morro do Chapéu,BA,Brazil,À beira da estrada BA-144,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 268,NA,P6,NA,MCZ,Em meio a plantação de café,NA,NA,NA,NA,NA,"open male flowers, fruits",Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2014,NA
14132Z03X003,BdM1772,14132,bagging flowers,in open male flowers (partially enclosed by spathe),adult,NA,MZSP,MCZ,NA,1,Celetes,genus,decolor,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1772,NA,12,11,2014,NA,NA,NA,74,-11.62958303,-41.15293812,1070.785889,Morro do Chapéu,BA,Brazil,À beira da estrada BA-144,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 269,NA,P6,NA,MCZ,Em meio a plantação de café,NA,NA,NA,NA,NA,"open male flowers (partially enclosed by spathe), fruits",Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2014,NA
14132Z03X004,BdM1773,14132,bagging flowers,in open male flowers (partially enclosed by spathe),adult,NA,MZSP,MCZ,NA,1,Celetes,genus,decolor,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1773,NA,12,11,2014,NA,NA,NA,74,-11.62958303,-41.15293812,1070.785889,Morro do Chapéu,BA,Brazil,À beira da estrada BA-144,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 269,NA,P6,NA,MCZ,Em meio a plantação de café,NA,NA,NA,NA,NA,"open male flowers (partially enclosed by spathe), fruits",Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2014,NA
13045Z04X008,BdM1774,13045,bagging flowers,in late male flowers,adult,NA,MZSP,MCZ,NA,1,Celetes,genus,decolor,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1774,NA,17,11,2013,NA,NA,NA,092,-13.9695102442,-42.2819960676,896.788818359,Lagoa Real,BA,Brazil,NA,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 78,NA,P7,NA,MCZ,Em cultivo em sítio,NA,NA,NA,NA,NA,late male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2013,NA
13045Z04X007,BdM1775,13045,bagging flowers,in late male flowers,adult,NA,MZSP,MCZ,NA,1,Celetes,genus,impar,NA,B. A. S. Medeiros,NA,NA,2015,extracted/pinned,NA,BdM1775,NA,17,11,2013,NA,NA,NA,092,-13.9695102442,-42.2819960676,896.788818359,Lagoa Real,BA,Brazil,NA,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 78,NA,P7,NA,MCZ,Em cultivo em sítio,NA,NA,NA,NA,NA,late male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2013,NA
13084Z08X002,BdM1776,13084,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,NA,MZSP,MCZ,NA,1,Celetes,genus,impar,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1776,NA,6,12,2013,NA,NA,NA,185,-15.3911301401,-42.8012361936,828.776123047,Mato Verde,MG,Brazil,NA,B. A. S. Medeiros,F. M. Gudin,B. A. S. Medeiros 117,NA,P9,NA,MCZ,"Em pasto, próximo a caatinga",NA,Folhas verde-acinzentadas,NA,flores amarelas,NA,early male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2013,NA
13084Z08X003,BdM1777,13084,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,NA,MZSP,MCZ,NA,1,Celetes,genus,impar,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1777,NA,6,12,2013,NA,NA,NA,185,-15.3911301401,-42.8012361936,828.776123047,Mato Verde,MG,Brazil,NA,B. A. S. Medeiros,F. M. Gudin,B. A. S. Medeiros 117,NA,P9,NA,MCZ,"Em pasto, próximo a caatinga",NA,Folhas verde-acinzentadas,NA,flores amarelas,NA,early male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2013,NA
14033Z04X003,BdM1779,14033,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,NA,MZSP,MCZ,NA,1,Dialomia,genus,sp_1,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1779,NA,3,11,2014,NA,NA,NA,21,-16.14953949,-40.2150376,178.4490967,Jacinto,MG,Brazil,À beira da estrada BR-367,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 172,NA,P2,NA,MCZ,caatinga,argiloso,NA,NA,NA,NA,early male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2014,NA
